step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std,critic_loss,critic_gradnorm,actor_loss,actor_gradnorm
0,0.035,2.0198551861020833,2.0198551861020833,0.12,1.03,2.1634685984653736,0.2983049111839772,0.24956235239375296,0.048289106614885904,2.2598421509521534e-05,2.864509507482827e-05,4.458400813601312e-06,2.5003576095381446,2.5057479391726973,3.8056350202300337,3.951817109858981,0.49655766487121583,0.1884248936828226,1.0000000113155694,0.0162260144884903,-0.004828910661488591,-1.0496005415916444e-10,0.12,0.04039710372204166,,,,,,,,,,,,,,,,,,,,
0,0.04,,,,,,,,,,,,,,,,,,,,,,,,-0.0019775211811065676,0.5808963298797607,0.9923666715621948,0.036190476190476197,,,,,,,,,,,,,,,,
1,0.092,2.1125368685656545,2.066196027333869,0.06,1.0609,2.293147763948757,0.31231502547677575,0.239312868236816,0.043183211343980225,4.7471383561627785e-05,6.0939067988758395e-05,7.068330280235984e-06,2.4897598347994743,2.507314451309778,2.639288054462726,3.3783106477261127,0.4918204635381699,0.1853447648137808,1.0000000011734664,0.017198608229615678,-0.004447870768429964,-8.987262845039369e-11,0.06,0.04225073737131309,,,,,,,,,,,,,,,,,,,,
1,0.095,,,,,,,,,,,,,,,,,,,,,,,,0.015243116277270019,0.6005918145179748,0.9968430161476135,0.05714285714285714,,,,,,,,,,,,,,,,
2,0.135,2.133304977363154,2.0885656773436305,0.08,1.092727,2.2042516523735274,0.3106009020247442,0.23208519317822593,0.041151736714383144,2.7146270716744402e-05,3.395438362322868e-05,6.721931997291579e-06,2.494780276073631,2.4980871425320252,3.7485982922453034,2.9724275788331624,0.5042939352989196,0.18370275946334005,1.0000000009685754,0.016531887392801453,-0.004365787748028909,-9.75094735622406e-11,0.08,0.042666099547263074,,,,,,,,,,,,,,,,,,,,
2,0.135,,,,,,,,,,,,,,,,,,,,,,,,0.04701189659535885,0.5545978784561157,0.9915036082267761,0.04380952380952381,,,,,,,,,,,,,,,,
3,0.175,2.0485495010932864,2.0785616332810446,0.02,1.1255088100000001,2.359675224027283,0.37713954148438106,0.2578369633481102,0.0478305565364587,2.634307550659401e-05,3.3220559621241874e-05,5.7106231626503984e-06,2.4829018228181137,2.5066464459007154,3.1000885264049627,3.365262214130135,0.5060195070505142,0.22356600342318417,1.0000000050105156,0.017697564180204624,-0.005226574055241492,-1.0309740900993349e-10,0.02,0.04097099002186573,,,,,,,,,,,,,,,,,,,,
3,0.18,,,,,,,,,,,,,,,,,,,,,,,,0.005996330990456045,0.5858545780181885,0.9832069635391235,0.0419047619047619,,,,,,,,,,,,,,,,
4,0.22,2.0124403889176516,2.065337384408366,0.04,1.1592740743,2.29592298156243,0.3342492769085993,0.25961978084663195,0.05082691872043739,4.520492682048746e-05,5.801989320884743e-05,6.760027655407528e-06,2.4944526067653263,2.501398902017577,3.2246374140311214,3.0008647814212344,0.4941752028465271,0.19932572500780224,1.0000000038836152,0.017219422361718223,-0.005720614480500622,-1.0286457836627962e-10,0.04,0.040248807778353025,,,,,,,,,,,,,,,,,,,,
4,0.224,,,,,,,,,,,,,,,,,,,,,,,,0.012183544598519802,0.5797783613204956,0.9936427354812623,0.07619047619047618,,,,,,,,,,,,,,,,
5,0.255,2.1135837165367755,2.073378439763101,0.06,1.1940522965290001,2.2984438722109197,0.36409959072177167,0.235374871549725,0.04284279899751941,2.7250190286076814e-05,3.421337673726803e-05,6.360630932503169e-06,2.521238551791245,2.5002669004082385,3.1364943966704977,3.2350003016907056,0.4993342912197113,0.2142927030287683,1.0000000073947013,0.017238329041581898,-0.004966654614827029,-9.601935744285586e-11,0.06,0.04227167433073551,,,,,,,,,,,,,,,,,,,,
5,0.26,,,,,,,,,,,,,,,,,,,,,,,,-0.021753904153592886,0.5680862307548523,0.9884808182716369,0.047619047619047616,,,,,,,,,,,,,,,,
6,0.295,2.108755770630192,2.0784323441726853,0.12,1.2298738654248702,2.28815487872401,0.38277165300262994,0.22636904471101968,0.041757351013702856,3.311711200473493e-05,4.240401912332131e-05,5.256390648975764e-06,2.5171063047965663,2.4979609850583895,3.414344379936366,2.8690335126208413,0.49998494863510135,0.22024749033153057,0.9999999964609743,0.017161161590430078,-0.0049860460874879475,-9.033828973770143e-11,0.12,0.04217511541260383,,,,,,,,,,,,,,,,,,,,
6,0.3,,,,,,,,,,,,,,,,,,,,,,,,0.008118466753512622,0.5734328866004944,0.9892290353775024,0.039999999999999994,,,,,,,,,,,,,,,,
7,0.335,2.163322673109342,2.0890436352897677,0.1,1.2667700813876164,2.2301589462962363,0.3884687022759135,0.21270499774796559,0.03829448426568756,3.919525637411857e-05,5.0612596846167896e-05,4.943234957970604e-06,2.5300414234909536,2.5058245355895066,3.065002580667228,3.4413906880163676,0.49882185459136963,0.23019659841433168,1.0000000045821071,0.016726192097221773,-0.004709738538829304,-9.620562195777893e-11,0.1,0.04326645346218685,,,,,,,,,,,,,,,,,,,,
7,0.34,,,,,,,,,,,,,,,,,,,,,,,,0.03678802670910954,0.5787168741226196,0.9887140989303589,0.05523809523809524,,,,,,,,,,,,,,,,
8,0.375,1.9178850122894349,2.070026010511953,0.08,1.304773183829245,2.288613173333751,0.34350875154877797,0.27343253655591715,0.051760762030843434,6.195992618017355e-05,8.089789387009512e-05,5.1460231104087736e-06,2.535959421760732,2.508025653549888,2.9516103198999235,3.4173954177910377,0.5016389900445938,0.2038118998333812,1.00000000144355,0.017164598800003133,-0.00655689847304966,-8.116476237773897e-11,0.08,0.03835770024578871,,,,,,,,,,,,,,,,,,,,
8,0.38,,,,,,,,,,,,,,,,,,,,,,,,0.015983659029006957,0.5894177317619324,0.9943224787712097,0.060952380952380945,,,,,,,,,,,,,,,,
9,0.415,1.9220614523579655,2.055229554696554,0.08,1.3439163793441222,2.1726246728187597,0.3015976082740259,0.2571918587950743,0.05060999111954498,2.8605929192393115e-05,3.6688920194163406e-05,4.356956187082236e-06,2.5321237694509775,2.499055476303464,3.188690346764125,2.820256414058574,0.5068565410375595,0.1900355354696512,0.9999999935552478,0.0162946850461407,-0.006603455924661852,-7.43195414543152e-11,0.08,0.03844122904715931,,,,,,,,,,,,,,,,,,,,
9,0.416,,,,,,,,,,,,,,,,,,,,,,,,-0.0009297307580709458,0.5525111734867096,0.9908276915550231,0.045714285714285714,,,,,,,,,,,,,,,,
10,0.45,2.101539159013973,2.0594395187254104,0.06,1.384233870724446,2.2860042861086445,0.37072553358374877,0.21888043161795123,0.03991504914009556,5.099021012198359e-05,6.56693596943809e-05,6.9527614047916225e-06,2.5231468228311655,2.5296266778335603,3.4063337256610002,3.377979799585633,0.5033239299058914,0.21175292259082198,1.0000000162236393,0.017145032145814833,-0.0053642488321699955,-1.3336539268493654e-10,0.06,0.042030783180279446,,,,,,,,,,,,,,,,,,,,
10,0.455,,,,,,,,,,,,,,,,,,,,,,,,-0.031121938046999274,0.5768944144248962,0.9947564840316773,0.05904761904761905,,,,,,,,,,,,,,,,
11,0.49,1.9884498418414098,2.0535237123184102,0.14,1.4257608868461793,2.231810613864026,0.30797889602098233,0.24340505674447158,0.046737641847205316,2.882444427780097e-05,3.676768078916686e-05,4.994734743703308e-06,2.497488414653598,2.5140487547950805,2.9806714903758564,2.8393964230090183,0.5105577492713929,0.19258827928453684,1.0000000020489097,0.0167385796039802,-0.006469582688268987,-7.888302206993104e-11,0.14,0.03976899683682819,,,,,,,,,,,,,,,,,,,,
11,0.495,,,,,,,,,,,,,,,,,,,,,,,,-0.01364956023171544,0.5758184194564819,0.9812775135040284,0.03238095238095238,,,,,,,,,,,,,,,,
12,0.53,1.9940961073860044,2.0489523580928406,0.08,1.4685337134515648,2.2690269052439036,0.347527882123888,0.2462071232500457,0.044788573136579315,2.4491529292938264e-05,3.08129601921708e-05,5.527236595240625e-06,2.5243566811036535,2.514223236197765,3.1221847029540175,2.983862347019653,0.5008121299743652,0.20470303835347295,0.9999999918416143,0.01701770178932928,-0.00638577957557843,-6.603077054023744e-11,0.08,0.039881922147720086,,,,,,,,,,,,,,,,,,,,
12,0.535,,,,,,,,,,,,,,,,,,,,,,,,-0.013456564210355283,0.56977379322052,0.9815140724182129,0.051428571428571435,,,,,,,,,,,,,,,,
13,0.57,2.052192541876168,2.0491837997916496,0.08,1.512589724855112,2.2756799661206304,0.3803771694409178,0.22770109603034705,0.04101879817188975,2.866384863434847e-05,3.647503451242467e-05,5.230291000119881e-06,2.501150201660559,2.5066295786240946,2.68313995177416,3.4640166725475625,0.4994097447395325,0.22217142002657056,1.0000000139325858,0.017067599745904726,-0.00602374880006855,-1.0831281542778016e-10,0.08,0.04104385083752336,,,,,,,,,,,,,,,,,,,,
13,0.575,,,,,,,,,,,,,,,,,,,,,,,,0.023330434551462532,0.5805657863616943,0.9890165686607361,0.05333333333333333,,,,,,,,,,,,,,,,
14,0.61,1.9265182251459128,2.041006094815267,0.1,1.5579674166007653,2.219685848600031,0.31641631828841904,0.24548763892426692,0.043748011788925,3.4956522210630575e-05,4.475540292799416e-05,5.5598800585398024e-06,2.516975015296931,2.5121521474906787,2.958105541590236,2.9491140267026923,0.4963739514350891,0.18921663219109178,0.9999999943003058,0.016647643864500232,-0.0066172793114768255,-5.010515451431275e-11,0.1,0.03853036450291825,,,,,,,,,,,,,,,,,,,,
14,0.615,,,,,,,,,,,,,,,,,,,,,,,,0.031165041401982306,0.5795340538024902,0.9820072650909424,0.03047619047619048,,,,,,,,,,,,,,,,
15,0.651,2.1377550583730276,2.047052905037627,0.12,1.6047064390987884,2.3376484106613327,0.41402609260383755,0.207413667539554,0.038686700119573605,3.0342291248576202e-05,3.8465089316626766e-05,5.97389704442452e-06,2.5062072084945815,2.5072473122427765,3.3835146725468057,3.405073347972155,0.5052787244319916,0.2402635214664042,0.9999999949894846,0.01753236307996,-0.00602726182421006,-8.828938007354737e-11,0.12,0.04275510116746055,,,,,,,,,,,,,,,,,,,,
15,0.657,,,,,,,,,,,,,,,,,,,,,,,,0.011557648703455926,0.5802509546279907,0.9890636205673218,0.05904761904761905,,,,,,,,,,,,,,,,
16,0.695,1.957143458491354,2.041764114064317,0.04,1.652847632271752,2.3891522597462007,0.41802472813350783,0.24375339263426746,0.04378229249638704,2.1973318947803797e-05,2.7306054747062392e-05,5.975111550028017e-06,2.5052611845397066,2.500071393888865,3.02566054760523,3.6843279296185263,0.49539873003959656,0.2364407578110695,1.000000003799796,0.017918641948096507,-0.007025772668745889,-1.0952353477478028e-10,0.04,0.03914286916982708,,,,,,,,,,,,,,,,,,,,
16,0.7,,,,,,,,,,,,,,,,,,,,,,,,-0.005599766969680786,0.5834723711013794,0.9892859339714051,0.045714285714285714,,,,,,,,,,,,,,,,
17,0.734,1.858610813351791,2.0315889306913983,0.08,1.7024330612399046,2.246820425461511,0.3035779584297636,0.2697218291162551,0.04948391295648918,4.916837387290636e-05,6.368104421716713e-05,5.630362840124069e-06,2.5216980551839736,2.49659691629781,3.3467833954071864,3.1264887872559304,0.5068529653549194,0.18120866833254695,0.9999999982491136,0.016851153190961334,-0.00817893683656746,-8.73580574989319e-11,0.08,0.03717221626703582,,,,,,,,,,,,,,,,,,,,
17,0.738,,,,,,,,,,,,,,,,,,,,,,,,-0.0024081104900687935,0.5970398306846618,0.994853162765503,0.05714285714285714,,,,,,,,,,,,,,,,
18,0.77,1.9509459562332643,2.0273445636146543,0.08,1.7535060530771018,2.195409763681295,0.31429959795891743,0.2313503554767754,0.04227275770443065,3.0511167044448823e-05,3.8730844063370125e-05,5.852135987684891e-06,2.5135458449539967,2.513372246696604,3.398940344188994,3.134140011577814,0.4892139959335327,0.18750602079555392,0.9999999956041574,0.01646557322760971,-0.007196654030580663,-7.23637640476227e-11,0.08,0.039018919124665284,,,,,,,,,,,,,,,,,,,,
18,0.775,,,,,,,,,,,,,,,,,,,,,,,,0.026706295600160957,0.5664307236671448,0.9842141032218933,0.05142857142857142,,,,,,,,,,,,,,,,
19,0.81,1.993487760613388,2.025651723464591,0.08,1.806111234669415,2.411609164193957,0.4168736088813905,0.21734626101635487,0.03973361492360333,4.415445420059773e-05,5.666323640681917e-05,6.628107581933403e-06,2.508297112339621,2.5073580252418735,3.3510606617693095,3.0710675339961866,0.4941199386119843,0.23623077649623156,1.000000006183982,0.018087068731454676,-0.006967313427917312,-9.12696123123169e-11,0.08,0.03986975521226776,,,,,,,,,,,,,,,,,,,,
19,0.817,,,,,,,,,,,,,,,,,,,,,,,,-0.018586646392941476,0.5770897388458252,0.9922816157341003,0.05142857142857142,,,,,,,,,,,,,,,,
20,0.85,1.7952922567247207,2.0144235769957235,0.02,1.8602945717094976,2.172449645579958,0.24630067343540044,0.26195360479792545,0.049208082643604385,3.8063637101483865e-05,4.9075012434127655e-05,5.0295111035524756e-06,2.5160429414994114,2.5156583922481057,3.7144382970849943,3.6309646624307708,0.4994171446561813,0.15735995812341572,1.0000000089779497,0.016293372341849684,-0.008887527089915496,-1.1743977665901183e-10,0.02,0.035905845134494414,,,,,,,,,,,,,,,,,,,,
20,0.854,,,,,,,,,,,,,,,,,,,,,,,,-0.0050698852981440725,0.5671749114990234,0.9950817346572876,0.04571428571428572,,,,,,,,,,,,,,,,
21,0.89,2.023138950682828,2.0099536811015826,0.12,1.9161034088607827,2.3567597900373487,0.38190770006866737,0.2238976105218973,0.04011686895347389,3.5176545381884026e-05,4.4818819968701204e-05,6.249721621432497e-06,2.4990401033440275,2.4569121076234253,3.023906815258542,3.4659393049530633,0.5026343387365341,0.22568371118977665,0.999999994840473,0.017675698425280117,-0.007462919354812875,-5.68106770515442e-11,0.12,0.040462779013656566,,,,,,,,,,,,,,,,,,,,
21,0.895,,,,,,,,,,,,,,,,,,,,,,,,-0.0024629540741443632,0.567289388179779,0.9931516408920288,0.0419047619047619,,,,,,,,,,,,,,,,
