step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,policy_loss,value_loss,entropy,kl,clipfrac,early_stopped,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std
0,0.059,2.4758967007069046,2.4758967007069046,0.28,1.03,2.188879494500128,0.4149912324165557,0.13371333994743045,0.021486621145191252,2.2891333280601374e-05,2.8793943960438434e-05,5.18350124109019e-06,2.476564896597339,2.4654923695216997,3.7603511537581933,4.113780306087896,0.4989284163713455,0.2512521990016103,1.0000000001490117,0.016416596208750956,-0.0021486621145191255,-8.009374141693117e-11,0.28,0.0495179340141381,,,,,,,,,,,,,,,,,,,,,,
0,0.063,,,,,,,,,,,,,,,,,,,,,,,,0.01346776746213436,0.483185213804245,0.9348269820213317,0.00380952380952381,,,,,,,,,,,,,,,,,,
1,0.151,2.1057838340643897,2.290840267385647,0.1,1.0609,2.1369475232331685,0.2531952537876799,0.20404441689416938,0.03312067633128334,4.817803618981178e-05,6.150412110515719e-05,8.199781443775534e-06,2.4830936916286714,2.4956345696511018,2.5158234920922244,3.3712088584627655,0.4977798473834991,0.15857058800756932,0.9999999932572246,0.016027106424248767,-0.0034114296621221853,-8.083879947662355e-11,0.1,0.04211567668128779,,,,,,,,,,,,,,,,,,,,,,
1,0.153,,,,,,,,,,,,,,,,,,,,,,,,-0.0025159019976854326,0.46957712173461913,0.9309300422668457,0.001904761904761905,,,,,,,,,,,,,,,,,,
2,0.217,2.127034269441805,2.236238268071033,0.06,1.092727,2.16013867732442,0.29100599294613655,0.20100471091642486,0.032145862570959444,2.763311213585523e-05,3.432778707888166e-05,7.549087306775951e-06,2.4785430177992422,2.5146440404949915,3.8266512604294896,2.9072786849147203,0.4928733265399933,0.1757698519527912,1.0000000147148966,0.01620104007993315,-0.0034103545601530875,-1.309439539909363e-10,0.06,0.04254068538883611,,,,,,,,,,,,,,,,,,,,,,
2,0.22,,,,,,,,,,,,,,,,,,,,,,,,-0.008696554508060218,0.4818274974822998,0.9412818908691406,0.001904761904761905,,,,,,,,,,,,,,,,,,
3,0.284,2.2178358911670495,2.231637673845037,0.1,1.1255088100000001,2.1062091053542926,0.2755176407056458,0.19329352157886848,0.03147950372592754,2.6748749532236545e-05,3.3467923078761136e-05,6.5912288926627625e-06,2.4592861117726716,2.500478892175187,2.9092128187751642,3.325655368014597,0.49818747520446777,0.17278478287160395,1.0000000051781535,0.015796568290157197,-0.003439850366792162,-1.0002404451370241e-10,0.1,0.04435671782334099,,,,,,,,,,,,,,,,,,,,,,
3,0.288,,,,,,,,,,,,,,,,,,,,,,,,0.009055197797715664,0.4764577090740204,0.9505354881286621,0.00380952380952381,,,,,,,,,,,,,,,,,,
4,0.352,2.2225625337714314,2.2298226458303163,0.16,1.1592740743,2.114088229134172,0.25204549085417277,0.18590335181050288,0.03024775043745479,4.5612939077984573e-05,5.824153299461658e-05,7.727157328088566e-06,2.508876714566151,2.502848237368119,3.3685545459643693,2.7662499663566167,0.5058173370361329,0.15109338656067847,1.0000000004842877,0.01585566171850629,-0.0034044109600036726,-8.30739736557007e-11,0.16,0.044451250675428634,,,,,,,,,,,,,,,,,,,,,,
4,0.353,,,,,,,,,,,,,,,,,,,,,,,,-0.020853612385690213,0.4775449573993683,0.9240220546722412,0.0,,,,,,,,,,,,,,,,,,
5,0.417,2.2491168765008305,2.2330383509420684,0.12,1.1940522965290001,2.177696837843335,0.3455390089014223,0.18750348520919374,0.033213790816710886,2.759688519487772e-05,3.4427731759876795e-05,7.104345499880496e-06,2.529869248035643,2.5033341418303756,3.239588643528527,3.298206098766322,0.4964461946487427,0.19984872065484524,0.9999999997392297,0.016332726283825014,-0.003850388660303636,-9.350478649139405e-11,0.12,0.04498233753001661,,,,,,,,,,,,,,,,,,,,,,
5,0.419,,,,,,,,,,,,,,,,,,,,,,,,0.008693900145590305,0.47033166885375977,0.9301406621932984,0.001904761904761905,,,,,,,,,,,,,,,,,,
6,0.483,2.2971879776939335,2.242202583335192,0.18,1.2298738654248702,2.1870417311143866,0.3848592902491599,0.18035197358520605,0.03106273783878253,3.3737208047421066e-05,4.2971623111727925e-05,6.033962854500475e-06,2.497401887817295,2.495306923461359,3.3028944862848806,2.7327776045204466,0.5031172901391983,0.22250099338591098,0.9999999974295497,0.0164028129833579,-0.003709053345287655,-8.419156074523928e-11,0.18,0.04594375955387869,,,,,,,,,,,,,,,,,,,,,,
6,0.483,,,,,,,,,,,,,,,,,,,,,,,,0.0051480626687407495,0.4723537743091583,0.9523348808288574,0.005714285714285715,,,,,,,,,,,,,,,,,,
7,0.549,2.1310910780752046,2.2283136451776935,0.1,1.2667700813876164,2.097172947239506,0.25158304787413455,0.20295105243956046,0.03339346911459175,3.96721073394362e-05,5.099036759795701e-05,5.717326563873759e-06,2.5096230497080487,2.4985218920586094,3.0853981228076734,3.537829996935674,0.5036223429441452,0.16068233393132686,0.9999999873898924,0.015728797104296297,-0.004106975493990897,-4.880130290985108e-11,0.1,0.04262182156150409,,,,,,,,,,,,,,,,,,,,,,
7,0.553,,,,,,,,,,,,,,,,,,,,,,,,0.020578286983072756,0.4554239273071289,0.9218076467514038,0.005714285714285715,,,,,,,,,,,,,,,,,,
8,0.618,2.2498906828567837,2.2307110938087034,0.18,1.304773183829245,2.076066341347733,0.27878926897150047,0.16410982205826688,0.0262295727248858,6.227267423491748e-05,8.097696955339606e-05,6.159788279481736e-06,2.515318982761182,2.5162319842313425,2.913724171441112,3.4121543357778283,0.5000588172674179,0.1711277463287115,1.0000000052526594,0.015570497560108,-0.003322683797546599,-1.0542571544647219e-10,0.18,0.04499781365713569,,,,,,,,,,,,,,,,,,,,,,
8,0.622,,,,,,,,,,,,,,,,,,,,,,,,-0.011247118189930915,0.4676202595233917,0.9382170677185059,0.005714285714285715,,,,,,,,,,,,,,,,,,
9,0.683,2.1350064917022067,2.2211406335980537,0.12,1.3439163793441222,2.1393464681663796,0.3035829903321758,0.20277837796994125,0.03330056631548948,2.8929478912370404e-05,3.6915731600898266e-05,4.970720846786814e-06,2.5013431876872527,2.494924250556284,3.157643567033125,2.6984628103605224,0.5059842574596405,0.18729118771851064,1.000000002924353,0.016045098511247843,-0.004344968593477812,-8.372589945793154e-11,0.12,0.042700129834044136,,,,,,,,,,,,,,,,,,,,,,
9,0.688,,,,,,,,,,,,,,,,,,,,,,,,0.02342423315276392,0.4909444868564606,0.9431315779685974,0.005714285714285715,,,,,,,,,,,,,,,,,,
10,0.79,2.3408990908951886,2.2320277660796113,0.18,1.384233870724446,2.203866489375386,0.36656168531463107,0.165224839462817,0.027613450090334953,5.167210064153683e-05,6.619695209943902e-05,8.097546267830279e-06,2.535295975746321,2.5179352234800048,3.3267874497742445,3.4600639486818716,0.49912641286849974,0.21218846172094344,0.9999999951757491,0.016528998670315397,-0.003711016786660257,-6.575137376785279e-11,0.18,0.04681798181790376,,,,,,,,,,,,,,,,,,,,,,
10,0.795,,,,,,,,,,,,,,,,,,,,,,,,0.0037566726095974445,0.4446690022945404,0.9035313129425049,0.0,0.1258043460547924,0.08567658090032637,96.49595832824707,0.055231645703315735,0.38671875,1.0,,,,,,,,,,,,
11,0.865,1.9606895684618606,2.2094162496114653,0.08,1.4257608868461793,2.1936992852409984,0.2728722949572897,0.2307893519788683,0.039653365963949326,2.9163081068489956e-05,3.68942742111965e-05,5.969501640370335e-06,2.507989087990022,2.5120816097137033,3.0219317968344863,2.859179234199047,0.48863485515117644,0.17275180209428073,0.9999999918229878,0.016452744639307487,-0.005488953225553059,-4.4517219066619875e-11,0.08,0.03921379136923721,,,,,,,,,,,,,,,,,,,,,,
11,0.869,,,,,,,,,,,,,,,,,,,,,,,,-0.007895780866965652,0.48653700947761536,0.9489388465881348,0.005714285714285715,,,,,,,,,,,,,,,,,,
12,0.933,2.23596959117191,2.211458814346884,0.12,1.4685337134515648,2.1050848852799726,0.3317687418330395,0.16396717710183897,0.025030457471921244,2.4934355924291696e-05,3.1063419266619256e-05,6.5471658973090154e-06,2.5340296244878773,2.4917452748875513,3.107377767068275,2.906899008530351,0.5016320806741714,0.19689260229468344,1.0000000036507846,0.015788136639599798,-0.0035687447243332006,-9.182840585708621e-11,0.12,0.04471939182343819,,,,,,,,,,,,,,,,,,,,,,
12,0.936,,,,,,,,,,,,,,,,,,,,,,,,0.02566352877765894,0.44943026304244993,0.9406704425811767,0.00380952380952381,,,,,,,,,,,,,,,,,,
13,0.999,2.1936729632006524,2.2101883964078675,0.12,1.512589724855112,2.224098743114918,0.36361717293280366,0.18929759396054344,0.031032867582649722,2.8979395172597683e-05,3.6656138592310537e-05,5.949164913459108e-06,2.480876184389353,2.4670326285474546,2.7346127506246587,3.54783832635963,0.4954918199777603,0.21534110337495804,1.0000000026822091,0.016680740573361885,-0.004557281227019929,-8.232891559600832e-11,0.12,0.04387345926401304,,,,,,,,,,,,,,,,,,,,,,
13,1.005,,,,,,,,,,,,,,,,,,,,,,,,-0.012651732191443443,0.4690012693405151,0.9291395306587219,0.001904761904761905,,,,,,,,,,,,,,,,,,
14,1.073,2.067596249543996,2.2006822532836092,0.12,1.5579674166007653,2.2268941950037298,0.3045955170180414,0.2120493058272174,0.03702115176858468,3.542684096399283e-05,4.516937850986454e-05,6.199228326377685e-06,2.5182244326916496,2.52434549043782,3.048356974880763,3.034334868873231,0.5014844226837158,0.18590163934975862,1.000000002849847,0.016701706462527974,-0.005599781376746283,-9.490177035331728e-11,0.12,0.04135192499087991,,,,,,,,,,,,,,,,,,,,,,
14,1.077,,,,,,,,,,,,,,,,,,,,,,,,-0.022839552722871304,0.47775627970695494,0.9297968626022339,0.005714285714285715,,,,,,,,,,,,,,,,,,
15,1.15,2.2660689894309374,2.204768924292818,0.1,1.6047064390987884,2.11834103774829,0.31978085648583066,0.16541715647775207,0.027703903488341192,3.0746048162697124e-05,3.862189494241608e-05,7.118507823540259e-06,2.5064604682462517,2.5076648124636938,3.591273194781922,3.331365385398078,0.5050319617986679,0.19453707838431,1.000000002514571,0.015887557783112176,-0.0043161778947487855,-9.974464774131778e-11,0.1,0.04532137978861875,,,,,,,,,,,,,,,,,,,,,,
15,1.155,,,,,,,,,,,,,,,,,,,,,,,,0.011373262107372283,0.4937091410160065,0.9225892424583435,0.001904761904761905,,,,,,,,,,,,,,,,,,
