step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std,critic_loss,critic_gradnorm,actor_loss,actor_gradnorm
0,0.036,2.1130861714516294,2.1130861714516294,0.06,1.03,2.2648222187924407,0.33746153936455814,0.23309625246612853,0.04224443117940279,5.054314244517083e-05,6.583789627468054e-05,4.658880956641694e-06,2.4915504840297302,2.444040017217539,3.0384246071812324,2.7093037111182663,0.4989186489582062,0.20531145533546805,1.0000000018440187,0.01698616664094331,-0.0042244431179402795,-9.397044777870179e-11,0.06,0.04226172342903259,,,,,,,,,,,,,,,,,,,,
0,0.039,,,,,,,,,,,,,,,,,,,,,,,,0.012346415594220162,0.5596714496612549,0.9923117399215698,0.045714285714285714,,,,,,,,,,,,,,,,
1,0.092,1.880252769213211,1.9966694703324201,0.02,1.0609,2.17289816649791,0.25082653152044077,0.29507760383666665,0.05768622094170375,4.817399534853421e-05,6.304926253308102e-05,3.548193794893754e-06,2.493176559158233,2.5141349045303345,2.8301892629940237,3.1552571974973693,0.49752726912498474,0.1752294742129743,1.000000006854534,0.016296736248734327,-0.0059416807569954875,-1.0747462511062625e-10,0.02,0.037605055384264216,,,,,,,,,,,,,,,,,,,,
1,0.097,,,,,,,,,,,,,,,,,,,,,,,,-0.012086174404248595,0.5703855872154235,0.9868072152137757,0.04952380952380952,,,,,,,,,,,,,,,,
2,0.137,2.0816452819846836,2.0249947408831748,0.1,1.092727,2.140047549054239,0.3100212631022392,0.239673172154201,0.04635169116963936,3.645341524624958e-05,4.73926427734873e-05,3.635732664536389e-06,2.489682383283933,2.5158711431451484,3.341319805905813,2.9271258564178013,0.4944530177116394,0.20088954523205757,0.9999999970570207,0.016050356617906793,-0.004917450916187038,-6.202608346939089e-11,0.1,0.04163290563969367,,,,,,,,,,,,,,,,,,,,
2,0.142,,,,,,,,,,,,,,,,,,,,,,,,-0.041061212122440335,0.5625256776809693,0.9924993276596069,0.04380952380952381,,,,,,,,,,,,,,,,
3,0.176,1.9733600232306945,2.012086061470055,0.06,1.1255088100000001,2.145738870027883,0.28964981662614503,0.25266146677226164,0.0469087060965246,2.0991114855058708e-05,2.6787705617602833e-05,3.6013425674263274e-06,2.5065061091268785,2.481047977815618,3.6719636919010052,3.608471675133939,0.5067950415611268,0.19246677558869124,1.0000000053830445,0.016093041525209125,-0.005125840968673705,-9.192153811454774e-11,0.06,0.03946720046461388,,,,,,,,,,,,,,,,,,,,
3,0.184,,,,,,,,,,,,,,,,,,,,,,,,0.009121128171682358,0.5682640910148621,0.9874037027359008,0.04380952380952381,,,,,,,,,,,,,,,,
4,0.218,1.9136095358193304,1.9923907563399097,0.06,1.1592740743,2.270545079132589,0.31399354921404987,0.28181799113311135,0.053370504197468076,3.1679669168764724e-05,4.0919668718248994e-05,3.959670520311892e-06,2.517285106595061,2.509651250680707,3.217051169411837,3.149231019452334,0.49172706484794615,0.1966579968482256,1.0000000087358059,0.01702908809349442,-0.006006897266839231,-1.1026859283447269e-10,0.06,0.0382721907163866,,,,,,,,,,,,,,,,,,,,
4,0.224,,,,,,,,,,,,,,,,,,,,,,,,0.006518447701819241,0.5668978810310363,0.9916057229042053,0.045714285714285714,,,,,,,,,,,,,,,,
5,0.254,1.9881139438483646,1.9916779542579857,0.06,1.1940522965290001,2.1877130102935336,0.2979012783317815,0.24101043700793148,0.04438612691099284,3.146917530463991e-05,4.046297962211497e-05,4.4877623522147435e-06,2.5254968798164596,2.4989807793514474,3.193382295855969,3.7077940101865243,0.5060347604751587,0.18488420465961097,0.9999999994039536,0.016407847577201498,-0.0051455686186503554,-8.158385753631593e-11,0.06,0.03976227887696729,,,,,,,,,,,,,,,,,,,,
5,0.254,,,,,,,,,,,,,,,,,,,,,,,,-0.0026213258504867555,0.5791895508766174,0.9932094812393188,0.05333333333333333,,,,,,,,,,,,,,,,
